STATE,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,
Alabama,27,0,0,9,14,10,9,6,6,83,19,9,11,6,1,0,3,1,2,0,,
Alaska,9,11,7,4,11,8,6,8,6,8,7,9,8,8,6,4,9,13,7,20,4,
Arizona,280,209,166,264,213,276,265,155,176,192,236,219,185,161,149,138,224,246,238,384,240,
Arkansas,19,9,13,7,12,5,8,27,30,11,63,74,91,33,113,134,93,170,0,3,3,
California,"1,339","1,015",1063,"1,094",931,837,759,843,910,"1,040","1,092","1,015","1,381","1,400","1,297","1,379","1,393","1,472","1,648","2,246","1,943",
Colorado,281,210,121,106,104,107,96,128,189,186,154,208,149,156,138,125,59,82,96,126,101,
Connecticut,101,76,81,111,106,93,123,145,149,140,147,198,164,127,131,95,116,134,129,169,151,
Delaware,13,22,16,29,15,11,13,12,10,15,20,37,58,49,48,45,33,17,13,17,34,
DC,133,222,213,193,115,65,70,72,72,83,57,36,42,41,57,48,49,31,14,11,5,
Florida,109,111,141,145,96,72,65,76,144,123,136,130,153,166,216,231,274,231,257,302,240,
Georgia,195,102,35,27,39,44,41,57,21,17,17,11,9,13,13,17,29,23,31,39,35,
Hawaii,36,41,44,,,,,,,,,,,,,,,,,,,
Idaho,43,24,23,53,27,34,25,32,35,33,28,35,30,38,23,33,37,20,43,34,45,
Illinois,56,65,107,82,111,90,109,105,84,69,94,129,120,167,156,168,187,208,155,282,183,
Indiana,186,75,107,55,78,63,50,75,37,100,94,55,61,40,39,54,63,48,77,74,106,
Iowa,15,10,10,11,17,6,11,10,8,15,17,18,33,27,28,37,23,38,46,32,33,
Kansas,124,78,69,75,49,62,73,64,81,67,58,122,113,110,109,72,49,49,55,71,42,
Kentucky,166,146,235,378,206,188,163,171,203,155,173,150,64,48,64,44,71,81,76,82,73,
Louisiana,39,26,45,26,26,38,9,22,4,5,13,13,67,31,22,17,22,7,15,10,12,
Maine,83,19,20,32,40,38,28,25,52,55,61,50,63,72,59,57,68,77,36,32,28,
Maryland,40,18,49,48,37,41,16,51,35,49,80,102,100,150,212,195,245,248,211,231,217,
Massachusetts,310,388,352,427,391,411,375,350,291,367,316,322,333,353,379,371,346,403,430,584,458,
Michigan,377,434,431,456,399,309,311,329,617,346,304,314,560,627,653,640,556,427,416,442,425,
Minnesota,194,104,126,146,119,109,98,144,72,148,127,153,164,157,137,206,239,215,203,210,169,
Mississippi,16,14,5,1,7,0,1,4,18,1,11,2,4,0,0,0,2,1,3,3,2,
Missouri,115,83,64,105,88,100,76,102,104,117,142,124,99,114,78,78,71,54,64,65,70,
Montana,26,32,7,15,20,45,30,31,36,23,31,28,24,21,24,65,56,5,13,13,19,
Nebraska,72,46,34,45,31,19,47,36,9,36,61,78,11,44,56,71,62,46,74,53,17,
Nevada,113,44,33,5,41,58,24,73,91,59,68,48,94,63,125,77,81,97,62,94,85,
New Hampshire,19,16,13,13,28,13,14,21,29,22,31,24,44,43,34,32,48,36,27,27,32,
New Jersey,389,472,561,495,282,330,336,414,505,508,543,549,744,748,759,738,769,594,570,767,652,
New Mexico,55,50,28,7,26,13,13,12,2,28,24,15,9,14,20,18,21,11,15,20,15,
New York,463,611,523,552,595,500,545,615,715,544,699,626,570,493,522,249,386,602,693,712,608,
North Carolina,185,210,140,166,148,161,140,118,119,112,94,103,124,75,100,89,66,77,62,85,31,
North Dakota,21,18,10,15,8,36,40,51,41,27,8,14,16,14,16,12,8,18,18,17,5,
Ohio,538,391,350,380,442,416,403,370,257,228,247,297,345,312,300,176,353,231,263,363,240,
Oklahoma,8,28,20,37,33,37,33,41,21,29,49,59,51,30,51,41,51,38,44,46,80,
Oregon,280,175,118,146,104,65,26,66,52,128,134,130,187,170,141,137,155,95,61,222,142,
Pennsylvania^,81,41,67,78,61,64,50,64,38,53,57,46,68,83,97,118,105,115,92,132,141,
Rhode Island,14,17,13,11,12,18,4,7,12,20,20,36,35,47,19,15,29,45,38,63,48,
South Carolina,110,68,111,87,23,55,49,51,148,135,109,124,153,127,110,98,105,54,70,41,33,
South Dakota,17,20,20,17,18,16,18,13,29,21,51,42,42,37,76,9,7,10,4,5,7,
Tennessee,78,117,170,136,142,221,194,196,316,144,147,169,255,239,202,128,136,161,129,335,230,
Texas,406,456,455,190,178,191,145,132,181,152,174,165,246,242,245,264,309,294,347,434,286,
Utah,44,18,33,78,66,47,50,75,102,68,63,48,40,55,35,44,59,59,54,65,71,
Vermont,60,33,45,34,25,8,15,12,12,7,17,24,20,21,21,32,28,27,18,17,19,
Virginia,170,163,143,193,122,158,118,119,134,144,175,150,263,323,341,295,307,280,291,362,325,
Washington,451,542,506,510,387,275,308,291,272,213,232,208,239,195,177,171,175,222,174,278,242,
West Virginia,54,31,43,31,41,41,26,56,27,18,33,24,43,44,34,47,31,33,41,39,60,
Wisconsin,72,74,52,46,34,43,51,50,68,76,93,54,92,69,84,46,37,31,32,61,47,
Wyoming,18,5,0,4,3,2,0,1,2,2,2,8,6,21,5,3,4,12,5,10,9,
